yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentile,UBO_date,UBO_T0,UBO_T2,UBO_T0_capped,UBO_T2_capped,UBO_assay_score,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Martin,,29,21G,,5/18/2021,1,2021,69,2019,,,16,,16,10,10,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,31,22G,,5/18/2021,1,2021,78,2019,,,12,,12,13.5,13.5,,,,,,,,,,,,,,,,,,0,7,0,350000,,,,,,,,,,
Martin,,26,16G,,5/26/2021,1,2021,NDQ,,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,7,0,350000,,,,,,,,,,
Martin,,21,14G,,5/26/2021,1,2021,,,,,8,,8,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,,
Martin,,23,02G,,5/26/2021,1,2021,77,2019,,,12+,,12,,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,,
Martin,,24,25G,,5/26/2021,1,2021,67,2018,,,11 C/J,,11,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,22,14GA,,5/26/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,32,18G,,5/26/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,1,0,50000,,,,,,,,,,
Martin,,28,27G,,5/26/2021,1,2021,75,2020,,,10,,10,,,,,,,,,,,,,,,,,,,,1,1,0.3333333333,50000,,,,,,,,,,
Martin,,25,26G,,5/26/2021,1,2021,69,2017,,,8,,8,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,30,19G,,5/26/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,7,0,350000,,,,,,,,,,
Martin,,33,08G,,5/26/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,5,0,250000,,,,,,,,,,
Martin,,27,11,,5/26/2021,1,2021,65,2020,,,10+,,10,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,,
Fortin,,80,2,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,64,0,3200000,,,,,,,,,,
Fortin,,75,4,,5/25/2021,1,2021,,,,,16+,,16,,,,,,,,,,,,,,,,,,,,0,93,0,4650000,,,,,,,,,,
Fortin,,73,9,,5/25/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,44,0,2200000,,,,,,,,,,
Fortin,,74,6,,5/25/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,40,0,2000000,,,,,,,,,,
Fortin,,81,10,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,83,0,4150000,,,,,,,,,,
Fortin,,76,20,,5/25/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,1,100,0.3333333333,5000000,,,,,,,,,,
Fortin,,78,21,,5/25/2021,1,2021,,,,,10+,,10,,,,,,,,,,,,,,,,,,,,0,128,0,6400000,,,,,,,,,,
Fortin,,79,22,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,46,0,2300000,,,,,,,,,,
Fortin,,77,19,,5/25/2021,1,2021,,,,,12+,,12,,,,,,,,,,,,,,,,,,,,3,10,1,500000,,,,,,,,,,
Fortin,,82,25,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,8,0,400000,,,,,,,,,,
Fortin,,83,16,,5/25/2021,1,2021,,,,,9,,9,,,,,,,,,,,,,,,,,,,,0,19,0,950000,,,,,,,,,,
Ferland,,68,3,,5/25/2021,1,2021,,,,,6,,6,,,,,,,,,,,,,,,,,,,,0,18,0,900000,,,,,,,,,,
Ferland,,67,1,,5/25/2021,1,2021,,,,,7,,7,,,,,,,,,,,,,,,,,,,,0,18,0,900000,,,,,,,,,,
Ferland,,69,18,,5/25/2021,1,2021,,,,,8+,,8,,,,,,,,,,,,,,,,,,,,2,18,0.6666666667,900000,,,,,,,,,,
Ferland,,70,22,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,93,0,4650000,,,,,,,,,,
Ferland,,71,21,,5/25/2021,1,2021,,,,,10+,,10,,,,,,,,,,,,,,,,,,,,0,107,0,5350000,,,,,,,,,,
Ferland,,72,20,,5/25/2021,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,
Brigham,,35,1,,5/26/2021,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Brigham,,38,7,,5/26/2021,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,4,0,200000,,,,,,,,,,
Brigham,,36,4,,5/26/2021,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
